Frequency [Hz],Amplitude [dB]
336000,-14.05857264613773
337000,-14.05095988532003
338000,-13.981165210015714
339000,-13.979876227147013
340000,-13.975796588955674
341000,-13.989319643247605
342000,-14.014095730039454
343000,-13.965847642725969
344000,-13.934999155320828
345000,-13.960031944016592
346000,-13.970462280327766
347000,-13.981200689729661
348000,-13.937653652699865
349000,-13.91223708301127
350000,-13.881917378481631
351000,-13.927970198545609
352000,-13.958070482133781
353000,-13.928344245985603
354000,-13.91878528189131
355000,-13.916213807437018
356000,-13.936366907405048
357000,-13.961193098888128
358000,-13.940554110010144
359000,-13.904065082836638
360000,-13.907803407989274
361000,-13.949116602978165
362000,-13.985630272203814
363000,-13.937610169936175
364000,-13.953695012591126
365000,-13.932908172120044
366000,-13.93932496752359
367000,-13.975090419678232
368000,-13.9739457437116
369000,-13.952163929449942
370000,-13.964620684907185
371000,-14.043269735012188
372000,-14.064132200994475
373000,-14.080564100497188
374000,-14.070051155416749
375000,-14.080086784993515
376000,-14.104872786861819
377000,-14.119354817681302
378000,-14.210541929068388
379000,-14.199179733721866
380000,-14.205964735188466
381000,-14.223896924119032
382000,-14.264090169801825
383000,-14.306801568449803
384000,-14.321371752459918
385000,-14.371022738263694
386000,-14.387040290467652
387000,-14.38404024938226
388000,-14.430702684019927
389000,-14.478224550110781
390000,-14.504179708709135
391000,-14.505929293201376
392000,-14.540698419084247
393000,-14.673111069489181
394000,-14.73065578605658
395000,-14.788616494218441
396000,-14.831189033665613
397000,-14.867175840853267
398000,-14.878445493321614
399000,-14.914994188536816
400000,-15.039784374063093
401000,-15.141764676875656
402000,-15.181392188724132
403000,-15.185029796280048
404000,-15.237232452008787
405000,-15.309934238310603
406000,-15.377387463328866
407000,-15.466704537652326
408000,-15.540611430980796
409000,-15.664085460753515
410000,-15.7096208517288
411000,-15.753025277316762
412000,-15.832961671889507
413000,-15.8915767476857
414000,-16.00024602765145
415000,-16.040447332622243
416000,-16.10664316820082
417000,-16.223068897364815
418000,-16.264509984436813
419000,-16.34624922532378
420000,-16.447666065859334
421000,-16.54761878687937
422000,-16.580848476620712
423000,-16.654119121756217
424000,-16.730797141376158
425000,-16.7782002213803
426000,-16.864743139421854
427000,-16.933914476296735
428000,-17.045105132199446
429000,-17.14139423432395
430000,-17.182192836965214
431000,-17.222527357593755
432000,-17.28507947760289
433000,-17.36661305723377
434000,-17.446917114703485
435000,-17.55473582361332
436000,-17.65580283197598
437000,-17.699626472791827
438000,-17.767863553304142
439000,-17.848161379217863
440000,-17.904915222555633
441000,-17.991942659060946
442000,-18.10113331216933
443000,-18.192230678912537
444000,-18.262923597628397
445000,-18.348699509892924
446000,-18.380394455187094
447000,-18.430372376997475
448000,-18.537987085277038
449000,-18.573059012484187
450000,-18.66102052221032
451000,-18.776313679492212
452000,-18.904360680801236
453000,-18.94200861064254
454000,-19.0243648587958
455000,-19.115738998532212
456000,-19.23396038417768
457000,-19.32291077257011
458000,-19.359243756008723
459000,-19.466638988807322
460000,-19.599806919087595
461000,-19.654520499824994
462000,-19.716246685722265
463000,-19.788843027055904
464000,-19.86050388378518
465000,-19.957608103123285
466000,-20.05639246381752
467000,-20.181514150571893
468000,-20.357383824071235
469000,-20.44464481325417
470000,-20.487012225301356
471000,-20.51059027713446
472000,-20.666012880026567
473000,-20.80239130408093
474000,-20.874212849181415
475000,-20.978691162009447
476000,-21.12619527762558
477000,-21.19793020175721
478000,-21.301035347527442
479000,-21.399426296085633
480000,-21.42933138563624
481000,-21.505344508822574
482000,-21.61341402281281
483000,-21.658440060271012
484000,-21.788699846458737
485000,-21.88337620569923
486000,-21.979390780685634
487000,-22.087829658652755
488000,-22.08757621721823
489000,-22.151421209126156
490000,-22.24519455665568
491000,-22.3053479918957
492000,-22.347608929539035
493000,-22.444409835124066
494000,-22.504276301599763
495000,-22.62025378979119
496000,-22.762326123351215
497000,-22.888082306159703
498000,-22.9101720393137
499000,-23.021839641641677
500000,-23.027650878007986
501000,-23.07441101695097
502000,-23.16467615485057
503000,-23.249290840165443
504000,-23.346287690389
505000,-23.42272374213609
506000,-23.56420803184427
507000,-23.71894758382751
508000,-23.779101275293655
509000,-23.817748837333
510000,-23.92464276819695
511000,-23.999029415700395
512000,-24.104009126387556
513000,-24.128868420221366
514000,-24.230100997816105
515000,-24.279686703628617
516000,-24.463625959037802
517000,-24.53609502588741
518000,-24.705541442198644
519000,-24.75685717900837
520000,-24.8605550030401
521000,-24.952208393587718
522000,-25.044658643375737
523000,-25.141234182758808
524000,-25.278303667608334
525000,-25.361075297259394
526000,-25.483445851399136
527000,-25.496463759829343
528000,-25.58924115251753
529000,-25.68611697987872
530000,-25.806632262195237
531000,-25.82078166249244
532000,-26.00093594123304
533000,-26.06677751525189
534000,-26.16775906251273
535000,-26.262353614004482
536000,-26.276888313196665
537000,-26.39820021401149
538000,-26.477650667346726
539000,-26.542975916679406
540000,-26.639224970451426
541000,-26.513024587693344
542000,-26.601903050796885
543000,-26.655427892742466
544000,-26.77485561597747
545000,-26.903244905655786
546000,-26.912371143928432
547000,-27.02947556079717
548000,-27.121394063276032
549000,-27.175685447923552
550000,-27.198533457884366
551000,-27.26206948446413
552000,-27.37330236351077
553000,-27.460147643091197
554000,-27.5800472319109
555000,-27.744771961330144
556000,-27.56343529855006
557000,-27.67464770472825
558000,-27.796415069982515
559000,-27.85112360572984
560000,-27.890071320749783
561000,-27.97434153169775
562000,-28.02918613576557
563000,-28.142600354063283
564000,-28.19492065067589
565000,-28.255871422129673
566000,-28.314889270045082
567000,-28.437728190465396
568000,-28.613163716305394
569000,-28.698706694449267
570000,-28.821587134625446
571000,-28.818750008971307
572000,-28.785741355371044
573000,-28.828607533928125
574000,-28.943698665247755
575000,-28.994584407668235
576000,-29.15711288190938
577000,-29.136136253830106
578000,-29.308757244107774
579000,-29.373237024743773
580000,-29.430337887002704
581000,-29.52614615227357
582000,-29.67570659419202
583000,-29.69445941345746
584000,-29.888879230724363
585000,-29.89913844647019
586000,-29.990758284884926
587000,-30.0552474330882
588000,-30.174068536895888
589000,-30.13451124419879
590000,-30.166169612234583
591000,-30.226096012666332
592000,-30.327577755426937
593000,-30.403477818487644
594000,-30.421410922320234
595000,-30.559502799188913
596000,-30.64014944382599
597000,-30.770617609256135
598000,-30.940826663931183
599000,-31.012255602038895
600000,-31.155539480674033
601000,-31.169938679987993
602000,-31.15102081961816
603000,-31.284397397629803
604000,-31.333470279710138
605000,-31.400185634590862
606000,-31.538781393667577
607000,-31.50793205459533
608000,-31.59004108525278
609000,-31.632600126537966
610000,-31.718815178831193
611000,-31.86743899453868
612000,-32.007171529040185
613000,-32.03220473318378
614000,-32.21431679534962
615000,-32.24774692356884
616000,-32.28137633719938
617000,-32.39626417114677
618000,-32.483054928727014
619000,-32.556984519043425
620000,-32.61197688113363
621000,-32.718594681680514
622000,-32.80162168152374
623000,-32.95896485436507
624000,-33.00358953719035
625000,-32.90972379324632
626000,-33.010683429916135
627000,-33.083399288341894
628000,-33.225467591463755
629000,-33.28383625702123
630000,-33.38647252603006
631000,-33.339473443702495
632000,-33.44020592692461
633000,-33.54231415791099
634000,-33.59576479688582
635000,-33.59786218076086
636000,-33.75880017218847
637000,-33.73035535572385
638000,-33.875100676594826
639000,-33.86223518604545
640000,-33.86075967402098
641000,-33.96833497100274
642000,-34.09025228278429
643000,-34.21862732240706
644000,-34.350970695345346
645000,-34.39997238267515
646000,-34.079592857150445
647000,-34.271865161104955
648000,-34.36225947241786
649000,-34.33156480660119
650000,-34.42821824989027
651000,-34.42339775887383
652000,-34.553426587463704
653000,-34.61749181770848
654000,-34.60434568307601
655000,-34.70134970842344
656000,-34.74081004283295
657000,-34.89085807303928
658000,-34.98313785741857
659000,-34.93749356867748
660000,-35.08971773403732
661000,-35.14329076328314
662000,-35.15656177562828
663000,-35.31426532716483
664000,-35.4326862479963
665000,-35.484381394986855
666000,-35.59774176632608
667000,-35.34554708223976
668000,-35.370082056253594
669000,-35.490986217049304
670000,-35.57567975374778
671000,-35.64196261559
672000,-35.71554957996716
673000,-35.74247333279062
674000,-35.83880851287328
675000,-35.75989497946402
676000,-35.93657774609726
677000,-35.89132942470516
678000,-36.09068009820284
679000,-36.06429983905973
680000,-36.179946136610084
681000,-36.27852994902329
682000,-36.41483062990831
683000,-36.49387710034139
684000,-36.507707699599976
685000,-36.767505172701334
686000,-36.766397628108464
687000,-36.81965872929595
688000,-36.973985679551035
689000,-37.004655595999466
690000,-36.75233271799438
691000,-36.828745520884205
692000,-36.789025219483904
693000,-36.95070536997246
694000,-36.86201395612394
695000,-36.919625706229006
696000,-37.053300779848904
697000,-37.17903140836062
698000,-37.28054505352442
699000,-37.320623437246354
700000,-37.441562336122445
701000,-37.46791468940937
702000,-37.54382949265524
703000,-37.56471538314427
704000,-37.69345130899061
705000,-37.690984548171045
706000,-37.85694921387871
707000,-38.11411032835807
708000,-38.20599615756139
709000,-38.29526757755394
710000,-38.262429743076474
711000,-38.37585229776378
712000,-38.4303831627508
713000,-38.39610709873763
714000,-38.362814453633895
715000,-38.331045129421966
716000,-38.37722110345877
717000,-38.39387764388094
718000,-38.473472009280414
719000,-38.5229372008791
720000,-38.64167090263332
721000,-38.7325587772023
722000,-38.72133707318892
723000,-38.7997176149586
724000,-38.92488242047644
725000,-38.93218891413175
726000,-39.003667318781325
727000,-39.2054031601602
728000,-39.30653503619929
729000,-39.302380301179355
730000,-39.50254700440811
731000,-39.51201235433535
732000,-39.7240306311484
733000,-39.6229863001528
734000,-39.72752365344016
735000,-39.83328939535403
736000,-39.83442785279947
737000,-39.92005772746682
738000,-39.86510388095606
739000,-39.95459946422437
740000,-40.04781276924034
741000,-39.79845877203863
742000,-39.86010160694243
743000,-39.95583761968116
744000,-40.016304281374744
745000,-40.13167847572275
746000,-40.25997119051973
747000,-40.45729588046985
748000,-40.31422851595309
749000,-40.493494667216595
750000,-40.46869307499073
751000,-40.491554119452125
752000,-40.61439161914619
753000,-40.58382247801704
754000,-40.70158921888447
755000,-40.782998733776765
756000,-40.72079583328235
757000,-40.93131978516473
758000,-40.956212338833986
759000,-40.86210302159419
760000,-41.09678768845305
761000,-41.053527726697496
762000,-41.09823151380235
763000,-41.30911188651328
764000,-41.274339266021485
765000,-41.32208663383928
766000,-41.32362040642497
767000,-41.488445684885676
768000,-41.527908508566796
769000,-41.60958366765813
770000,-41.065280882516355
771000,-41.178661532639616
