Frequency [Hz],Amplitude [dB]
658000,-15.108665754998178
659000,-15.113986601846744
660000,-15.101799589927467
661000,-15.059910601177215
662000,-15.020633905512124
663000,-15.023413763382877
664000,-15.038483919227794
665000,-15.055838163008037
666000,-15.031537685670493
667000,-15.099518791578632
668000,-15.114753422126597
669000,-15.187653993822366
670000,-15.224522974325915
671000,-15.241467376292405
672000,-15.275441756494054
673000,-15.346197932102392
674000,-15.380479959968334
675000,-15.323761587917136
676000,-15.248842006416488
677000,-15.279746453604709
678000,-15.278355722040171
679000,-15.225462535434403
680000,-15.230085128715604
681000,-15.211367504111497
682000,-15.245291086012045
683000,-15.25747284577923
684000,-15.2491758978027
685000,-15.25829415655409
686000,-15.213061925946139
687000,-15.277937052518492
688000,-15.310958357707264
689000,-15.354513027607993
690000,-15.4826674579705
691000,-15.501475962135153
692000,-15.508799212594553
693000,-15.476529890295069
694000,-15.488828752612552
695000,-15.399776556480646
696000,-15.397004447177917
697000,-15.381025696661368
698000,-15.355685977316998
699000,-15.363539428631281
700000,-15.335107747390918
701000,-15.399326793576016
702000,-15.39906288664874
703000,-15.424901816713668
704000,-15.459330711687215
705000,-15.454572112298894
706000,-15.444775022312292
707000,-15.483898513485844
708000,-15.547325087108629
709000,-15.603778049017198
710000,-15.63239828587745
711000,-15.764729323431844
712000,-15.715243526859588
713000,-15.64035891661807
714000,-15.652908336926572
715000,-15.609641858134534
716000,-15.631861841180108
717000,-15.637919581894376
718000,-15.660167163191979
719000,-15.669450703739663
720000,-15.63792465919905
721000,-15.65691470573234
722000,-15.658134119146773
723000,-15.622113067362179
724000,-15.646780683259507
725000,-15.675606610339383
726000,-15.684637157704636
727000,-15.742984216477652
728000,-15.791082021694027
729000,-15.780702106666766
730000,-15.83817924398015
731000,-15.900781072474711
732000,-15.914300833620416
733000,-15.90040497111763
734000,-15.851256689235491
735000,-15.847393088206449
736000,-15.795273933828895
737000,-15.768490386047368
738000,-15.787621449639126
739000,-15.746443863346801
740000,-15.687027646602655
741000,-15.888239562323843
742000,-15.88101111680383
743000,-15.887476225046896
744000,-15.880220331803557
745000,-15.854648614439562
746000,-15.903981460119521
747000,-15.894419387419529
748000,-15.937067337687246
749000,-15.99567238828475
750000,-16.055605082687624
751000,-16.051241051146516
752000,-16.06072022467818
753000,-16.175457072529586
754000,-16.09936746182005
755000,-16.081707844088847
756000,-16.101391293910563
757000,-16.04631277530683
758000,-16.028385000760835
759000,-16.108813333611728
760000,-15.969375677512112
761000,-16.022505044760596
762000,-15.98640773684884
763000,-15.9688696984119
764000,-15.966212823322014
765000,-16.05304919685651
766000,-16.080736146184115
767000,-16.066406455035608
768000,-16.11999908417307
769000,-16.170457668502134
770000,-16.274111606258842
771000,-16.311503669985417
772000,-16.361601289970302
773000,-16.350135286387452
774000,-16.407064090030104
775000,-16.494863626931107
776000,-16.501746073776392
777000,-16.479437042514075
778000,-16.460732865606772
779000,-16.360904270110836
780000,-16.3040919869205
781000,-16.32299593131816
782000,-16.311570273481195
783000,-16.245036336871717
784000,-16.327587829013048
785000,-16.215398553630056
786000,-16.256020757163128
787000,-16.26176129374563
788000,-16.369004242073757
789000,-16.336382076976975
790000,-16.342383102179767
791000,-16.367282989334434
792000,-16.38377436583473
793000,-16.426957861926297
794000,-16.422353024615376
795000,-16.37519785576287
796000,-16.469579312028127
797000,-16.476979099434494
798000,-16.608382380871216
799000,-16.646993884192423
800000,-16.699307645308025
801000,-16.734641437168985
802000,-16.7507906421468
803000,-16.687692614506055
804000,-16.692122267048823
805000,-16.68003933729203
806000,-16.664694919674353
807000,-16.64181514056105
808000,-16.6033684677799
809000,-16.58060312126407
810000,-16.61568900881172
811000,-16.650449839009447
812000,-16.61524390318997
813000,-16.646545798093072
814000,-16.678436344766013
815000,-16.655448260234017
816000,-16.671756245484566
817000,-16.688637372346065
818000,-16.690981754366405
819000,-16.70274506361797
820000,-16.716056432935584
821000,-16.85257928824666
822000,-16.86601003525118
823000,-16.928737745927982
824000,-17.013556153197527
825000,-16.960184674314913
826000,-17.01162987177854
827000,-16.94634809310185
828000,-16.93738006211012
829000,-16.96207665951577
830000,-16.912047905171264
831000,-16.876917885278335
832000,-16.879179318557373
833000,-16.87930895756639
834000,-17.05779425897032
835000,-16.979676384846744
836000,-16.98942386059745
837000,-16.981643508523614
838000,-17.006526989004968
839000,-17.054241221762997
840000,-16.97672760733234
841000,-17.03180434094952
842000,-17.064962248793105
843000,-17.135728792587788
844000,-17.1267148241658
845000,-17.148023261936068
846000,-17.134887392161307
847000,-17.152435454276446
848000,-17.166418183981847
849000,-17.149241308875077
850000,-17.32815370796996
851000,-17.377544827347897
852000,-17.34424739454129
853000,-17.33067693543336
854000,-17.31535883529922
855000,-17.28623082819367
856000,-17.313819027409163
857000,-17.2459682591172
858000,-17.279085803211252
859000,-17.18227273649174
860000,-17.20367079832174
861000,-17.25581372365878
862000,-17.211434845320866
863000,-17.2372251980395
864000,-17.19303894887425
865000,-17.18282653961971
866000,-17.131062839293122
867000,-17.19502259043882
868000,-17.243459203038974
869000,-17.1917882643503
870000,-17.420439082915195
871000,-17.45612923175463
872000,-17.42648839145029
873000,-17.44670271411617
874000,-17.49250855669574
875000,-17.48785550945964
876000,-17.553961857018255
877000,-17.636803365051453
878000,-17.683651720326957
879000,-17.718397058982305
880000,-17.77970703727609
881000,-17.81048204315865
882000,-17.801066214740878
883000,-17.8278075498507
884000,-17.689059809957985
885000,-17.65426036130058
886000,-17.696282946607344
887000,-17.702267142310323
888000,-17.693439841811163
889000,-17.638417553201485
890000,-17.670457954865377
891000,-17.680499596403013
892000,-17.69470832725959
893000,-17.672047006829555
894000,-17.719206631399313
895000,-17.716940018411456
896000,-17.70920046372313
897000,-17.711022915066792
898000,-17.819332845698828
899000,-17.796487890098867
900000,-17.851790391665922
901000,-17.789039512501645
902000,-17.81145120181762
903000,-17.899104417762672
