Frequency [Hz],Amplitude [dB]
411000,27.23289159705398
412000,27.155916455130445
413000,27.100265360781812
414000,26.994562770083302
415000,26.957330841220756
416000,26.894107047612728
417000,26.780656005302895
418000,26.74219222899
419000,26.663432901788386
420000,26.564998556885726
421000,26.468030892467475
422000,26.437788799318103
423000,26.367508269786043
424000,26.29382286380237
425000,26.24941487448861
426000,26.16586950321289
427000,26.09969814820058
428000,25.991509888278507
429000,25.898225575273997
430000,25.860434133913444
431000,25.8231091257476
432000,25.76356884840447
433000,25.68504942066422
434000,25.60776180333107
435000,25.502961801825045
436000,25.404915747154785
437000,25.3641152853412
438000,25.29890358816232
439000,25.22163332893456
440000,25.167909214656554
441000,25.083913648606128
442000,24.977756986369076
443000,24.889695709934966
444000,24.822040959987255
445000,24.73930527397126
446000,24.71065259142732
447000,24.663718947890167
448000,24.55915051242814
449000,24.52712683160418
450000,24.442215520848155
451000,24.329974494144654
452000,24.204981534043565
453000,24.170389535061094
454000,24.09109108643885
455000,24.002776593926953
456000,23.887616682220838
457000,23.801729573503884
458000,23.768461654498203
459000,23.664133249911284
460000,23.534033890642764
461000,23.48239060273851
462000,23.423736410517073
463000,23.35421374272328
464000,23.285628218419166
465000,23.191600969412868
466000,23.09589519597839
467000,22.973853692433032
468000,22.801065777113262
469000,22.716888100101812
470000,22.677605533239287
471000,22.657113838625374
472000,22.504779084008277
473000,22.371489978306048
474000,22.302759200656173
475000,22.201373083398515
476000,22.056962570493802
477000,21.988322635236003
478000,21.888313843523306
479000,21.793020593227652
480000,21.766214525165918
481000,21.69330172571609
482000,21.58833381673132
483000,21.546410644568855
484000,21.419254962988433
485000,21.327683926688152
486000,21.23477587199615
487000,21.12944469069895
488000,21.132806984200222
489000,21.072071978777203
490000,20.981409731172032
491000,20.92436848831713
492000,20.885220814541
493000,20.791534223326558
494000,20.734783100746167
495000,20.621921964996062
496000,20.48296697144471
497000,20.360329095233514
498000,20.341358614286783
499000,20.232811188797328
500000,20.23012103292214
501000,20.186482857144167
502000,20.099340544104788
503000,20.017849524366667
504000,19.92397715945768
505000,19.850666391784316
506000,19.712308163930327
507000,19.560695430603054
508000,19.503669293615953
509000,19.46815000090006
510000,19.364385033225272
511000,19.293128021798008
512000,19.19127859909538
513000,19.169550224175744
514000,19.071449175446144
515000,19.024995587471043
516000,18.844189017892866
517000,18.774853183889157
518000,18.60854052646004
519000,18.560359053589963
520000,18.459795977576718
521000,18.371277798147744
522000,18.28196320159984
523000,18.18852373659965
524000,18.0545907262971
525000,17.974955950378426
526000,17.855722608177782
527000,17.84584224891471
528000,17.756202721642985
529000,17.662465054968933
530000,17.5450882076315
531000,17.534077495626686
532000,17.35706213751307
533000,17.294359695477088
534000,17.19651747057634
535000,17.105062410843225
536000,17.093667351829524
537000,16.975495218634336
538000,16.8991846393812
539000,16.836999349614413
540000,16.743890319913387
541000,16.87323077026887
542000,16.787492397310444
543000,16.73710764707902
544000,16.620819996148516
545000,16.495570738386366
546000,16.489584470662862
547000,16.375619941997538
548000,16.28684122439771
549000,16.23568950032612
550000,16.215981005659465
551000,16.15558432811341
552000,16.047490610861313
553000,15.963784284857603
554000,15.847023420418086
555000,15.685437165203817
556000,15.869912031034978
557000,15.76183753577528
558000,15.643207768328246
559000,15.591636496298184
560000,15.555825689926854
561000,15.47469201158017
562000,15.422983543087616
563000,15.31270504236045
564000,15.263520024335001
565000,15.205704071506297
566000,15.149820561275195
567000,15.030115476619724
568000,14.857813263646422
569000,14.775403054492418
570000,14.655654818450593
571000,14.661623562404882
572000,14.697763227492404
573000,14.658027432630993
574000,14.54606603623677
575000,14.498309358992739
576000,14.33890925920041
577000,14.363013550022165
578000,14.193519489801966
579000,14.132165885559719
580000,14.07819042505216
581000,13.985506765911595
582000,13.839070113523675
583000,13.82344024621031
584000,13.632142522338349
585000,13.625004520451627
586000,13.536504995381494
587000,13.475135239029616
588000,13.359432584601436
589000,13.402107363227465
590000,13.373565496691349
591000,13.316754592351327
592000,13.218387319295811
593000,13.145600678574858
594000,13.13077992873803
595000,12.995799316542403
596000,12.918262826276994
597000,12.790903683938437
598000,12.62380250009623
599000,12.555480259583911
600000,12.415301884328027
601000,12.404006973198506
602000,12.426027885579265
603000,12.29575310242634
604000,12.24978073707386
605000,12.186164599811411
606000,12.050666738264717
607000,12.084612633800035
608000,12.00559879756004
609000,11.966133567667976
610000,11.883010922764868
611000,11.73747808946581
612000,11.600835091412344
613000,11.578889956777738
614000,11.39986447620311
615000,11.369519420678678
616000,11.338973549867786
617000,11.227167707886244
618000,11.14345737043934
619000,11.072606607445072
620000,11.020691458887127
621000,10.917149237103951
622000,10.83719616027718
623000,10.682925233726369
624000,10.641371099486962
625000,10.738305673333562
626000,10.640413126904315
627000,10.570762598078435
628000,10.431757842937078
629000,10.376450922762057
630000,10.276874575558923
631000,10.326931735136748
632000,10.229255463630755
633000,10.130201557847712
634000,10.079803336584707
635000,10.080756441951301
636000,9.922866990316464
637000,9.954358376146304
638000,9.812657633234272
639000,9.828565689357685
640000,9.83308173359256
641000,9.728544914478896
642000,9.609664005244444
643000,9.484323271869084
644000,9.355012087899858
645000,9.309040451282044
646000,9.632447868283005
647000,9.443201275590301
648000,9.355830474346094
649000,9.389546428059656
650000,9.295912029516982
651000,9.303749301150631
652000,9.176734968070113
653000,9.115681927248131
654000,9.13183792423816
655000,9.037841413204347
656000,9.00138622408585
657000,8.854340949169227
658000,8.765061509099656
659000,8.81370371019179
660000,8.664475004245615
661000,8.613894960497417
662000,8.603614438755164
663000,8.448898861948063
664000,8.333463378993937
665000,8.284751112049921
666000,8.17437104194775
667000,8.42954342748295
668000,8.407983534151128
669000,8.290051812291878
670000,8.20832805180565
671000,8.145012282472724
672000,8.07438970592327
673000,8.050427615267203
674000,7.95705135071295
675000,8.038921032032961
676000,7.865191624714095
677000,7.913390495845523
678000,7.716987541533449
679000,7.74631266832973
680000,7.633608365921441
681000,7.537963655160516
682000,7.40459916145927
683000,7.328485942762818
684000,7.317585638815006
685000,7.060715483619855
686000,7.064747347735714
687000,7.014407546709299
688000,6.862998856274674
689000,6.835244138327406
690000,7.090479132535683
691000,7.0169753425723735
692000,7.05960153264385
693000,6.900824125592415
694000,6.992415116665337
695000,6.937699756593242
696000,6.806917864836221
697000,6.684077189038591
698000,6.585450246461396
699000,6.548255294219914
700000,6.4301965347394
701000,6.406721007784539
702000,6.333679696828483
703000,6.315663943608371
704000,6.189794779031343
705000,6.195124904141938
706000,6.0320201847683155
707000,5.777715577687338
708000,5.688682795968053
709000,5.602260942566499
710000,5.637944841763249
711000,5.527364828944802
712000,5.475672961997545
713000,5.512784459242709
714000,5.548908951791942
715000,5.583506516684221
716000,5.540155155583918
717000,5.526319579375717
718000,5.449542508488985
719000,5.4028909207231415
720000,5.286967111143158
721000,5.19888539611113
722000,5.21290950604552
723000,5.137327595602156
724000,5.014957625837302
725000,5.010442151382952
726000,4.941750928403617
727000,4.74279841018557
728000,4.644445977819223
729000,4.651376256045108
730000,4.453981174576855
731000,4.447283503985952
732000,4.238028943106381
733000,4.341833005653949
734000,4.240051378558345
735000,4.137037336497321
736000,4.138646531587129
737000,4.055760241158756
738000,4.113453582633527
739000,4.026693384075575
740000,3.936211332537642
741000,4.188292431006322
742000,4.129372524179805
743000,4.036355245349956
744000,3.9786031024181714
745000,3.865939190706169
746000,3.740352501440754
747000,3.545729558939037
748000,3.691494371842369
749000,3.5149213489249
750000,3.542411728477595
751000,3.522235109345137
752000,3.4020776520034195
753000,3.435322431529648
754000,3.3202269041253323
755000,3.241484156783507
756000,3.3063493579370573
757000,3.09848321884379
758000,3.076243969114948
759000,3.1730020604677427
760000,2.9409616169158177
761000,2.9868612301935293
762000,2.9447925018473726
763000,2.736542574152992
764000,2.7739410049405144
765000,2.728814791718915
766000,2.729897497051232
767000,2.5676839988516176
768000,2.530828236796034
769000,2.451755399715956
770000,2.9986557462760355
771000,2.887867875999433
772000,2.77329414069994
773000,2.6927961247069754
774000,2.608975380549909
775000,2.63712447163333
776000,2.5821659898378972
777000,2.418662615219344
778000,2.511057567794406
779000,2.3910558861406668
780000,2.399855556811043
781000,2.360540741875309
782000,2.3636320066828804
783000,2.3705245311175362
784000,2.2914947289381553
785000,2.204352491551583
786000,2.156740239371035
787000,2.0683365141163947
788000,2.028240002343939
789000,1.887023948640187
790000,1.9155515525530773
791000,1.8661609587112349
792000,1.8920053845435183
793000,1.819262799993492
794000,1.7226232298427795
795000,1.625254300706983
796000,1.6245965491751186
797000,1.480394823284978
798000,1.3872901654007785
799000,1.3912373563402778
800000,1.8063262661320312
801000,1.7911255925558447
802000,1.8810704908638147
803000,1.696039353183187
804000,1.6041349221999832
805000,1.463841121426364
806000,1.374524686146303
807000,1.336440625835766
808000,1.2366130862692917
809000,1.1229404261557148
810000,1.1738367971307995
811000,1.1985432518514505
812000,1.0629447849450822
813000,1.104725834598632
814000,0.9973307804570908
815000,1.1581360695308403
816000,1.0158032033542443
817000,0.9843193188655818
818000,0.9007201580166613
819000,0.8820948937888402
820000,0.6514986694116603
821000,0.7557696839564398
822000,0.5977275232966782
823000,0.6728025405517601
824000,0.7541960828346473
825000,0.7050051811975356
826000,0.6424335672853791
827000,0.46913800724294347
828000,0.34675388235095095
829000,0.4521741096198534
830000,0.29212382869591963
831000,0.12677817215332457
832000,0.18260975569792864
833000,0.06862068640801626
834000,0.46024980728024384
835000,0.46344600151704196
836000,0.48428258474551034
837000,0.33913060717033067
838000,0.39296723670420886
839000,0.3358020229400657
840000,0.328749601134922
841000,0.15258321390579113
842000,0.03830715126420205
843000,0.09732952296857841
844000,-0.0029614816401995186
845000,-0.09950888847612502
846000,-0.19875417763165598
847000,-0.24022228012718588
848000,-0.17934157634120806
849000,-0.2545692960520831
850000,-0.3254751798597505
851000,-0.2691138997640303
852000,-0.3321623852319671
853000,-0.5160489150423455
854000,-0.39615101338990466
855000,-0.5887152300091945
856000,-0.6569289057594929
857000,-0.7002598026783591
858000,-0.6808330699397075
859000,-0.7526157616516995
860000,-0.6985055069601604
861000,-0.7062886302432553
862000,-0.8406952431962094
863000,-0.8920736285676069
864000,-1.0686288033809648
865000,-0.9332357148776026
866000,-1.0658779912585672
867000,-1.1308439311618381
868000,-1.0613286148086605
869000,-1.1977537055613363
870000,-1.0773857928790753
871000,-1.0133384480380216
872000,-1.1272587531395917
873000,-1.1798068182663917
874000,-1.2437272695294295
875000,-1.2396000722776455
876000,-1.2299617939645096
877000,-1.2217908108568902
878000,-1.4485560418044499
879000,-1.4708804432427711
880000,-1.6023836357667811
881000,-1.734300264249936
882000,-1.511658154473562
883000,-1.639654193555793
884000,-1.8520918528078945
885000,-1.8537123598624963
886000,-1.8584380365025857
887000,-1.9376749796621981
888000,-1.8573735532946625
889000,-1.9095949300087973
890000,-2.0465951866336485
891000,-1.83061272462901
892000,-1.9780927997208908
893000,-2.0482688393699515
894000,-1.8991978896319626
895000,-1.9776880997039705
896000,-2.2091640244990254
897000,-2.088603819916137
898000,-2.3431187024356004
899000,-2.4740548826183377
900000,-2.373986064798611
901000,-2.522679197064235
902000,-2.3629863417054326
903000,-2.511560662354145
904000,-2.662449189200557
905000,-2.7378764918331724
906000,-2.8151262926617786
907000,-2.5704041307082215
908000,-2.7245378859956464
909000,-2.886886972307263
910000,-2.2605039033302026
911000,-2.2620332599878092
912000,-2.4106306609752113
913000,-2.3267349789042284
914000,-2.6289944564218644
915000,-2.703388074153099
916000,-2.6426351962721126
917000,-2.7394404379681534
918000,-2.965411526933015
919000,-2.8643217392699243
920000,-2.8600637749055338
921000,-3.0218296082227636
922000,-3.1917354400014752
923000,-3.193794972619896
924000,-3.174212953385851
925000,-2.9788161784202236
926000,-3.167407241575226
927000,-3.4716745919295415
928000,-3.472623504196113
929000,-3.4368635185875887
930000,-3.506484175120153
931000,-3.598964826216766
